Latitude,Longitude,Year Built,Maintenance Responsibility,Bridge Condition,SqFt,Repair Cost Est,Replacement Cost Est
39.961086,-75.168292,1898,City or Municipal Highway Agency,F,400.86,125870.04000000001,166148.4528
39.954467,-75.169736,1957,City or Municipal Highway Agency,F,0.0,0.0,0.0
39.961278,-75.169892,1898,City or Municipal Highway Agency,F,341.19000000000005,107133.66000000002,141416.43120000002
40.012064,-75.194331,1925,City or Municipal Highway Agency,P,291.90000000000003,91656.6,120986.71200000001
39.9547,-75.1713,1957,City or Municipal Highway Agency,G,555.9599999999999,174571.43999999997,230434.30079999997
40.079625,-75.203972,1922,City or Municipal Highway Agency,G,121.0,37994.0,50152.08
40.005117,-75.169983,1993,City or Municipal Highway Agency,G,395.28000000000003,124117.92000000001,163835.65440000003
40.012808,-75.117725,1930,City or Municipal Highway Agency,P,420.0,131880.0,174081.6
40.014336,-75.129894,1908,City or Municipal Highway Agency,F,490.44000000000005,153998.16,203277.57120000003
40.010222,-75.185686,1960,City or Municipal Highway Agency,F,405.04,127182.56000000001,167880.9792
39.961436,-75.171472,1898,City or Municipal Highway Agency,F,161.28,50641.92,66847.3344
40.038333,-75.172139,1917,City or Municipal Highway Agency,F,443.7,139321.8,183904.776
40.028914,-75.230897,1929,City or Municipal Highway Agency,F,331.53999999999996,104103.55999999998,137416.6992
39.961942,-75.173328,1899,City or Municipal Highway Agency,F,630.0,197820.0,261122.40000000002
39.959897,-75.175397,1958,City or Municipal Highway Agency,G,372.3,116902.2,154310.904
39.98735,-75.176964,1918,City or Municipal Highway Agency,G,925.44,290588.16000000003,383576.37120000005
40.008642,-75.172861,1911,City or Municipal Highway Agency,F,511.06,160472.84,211824.14880000002
40.009903,-75.119758,1915,City or Municipal Highway Agency,G,348.15000000000003,109319.1,144301.21200000003
40.054967,-75.204836,1985,City or Municipal Highway Agency,F,2254.88,708032.3200000001,934602.6624
39.954,-75.183597,1931,City or Municipal Highway Agency,P,5507.459999999999,1729342.4399999997,2282732.0207999996
40.007742,-75.197811,1895,City or Municipal Highway Agency,P,2156.25,677062.5,893722.5
40.026417,-75.227719,1928,City or Municipal Highway Agency,F,3132.7200000000003,983674.0800000001,1298449.7856
39.898467,-75.174969,1917,City or Municipal Highway Agency,F,3662.34,1149974.76,1517966.6832
40.060161,-75.210142,1960,City or Municipal Highway Agency,P,993.0799999999999,311827.12,411611.79839999997
40.020811,-75.103328,1801,City or Municipal Highway Agency,P,138.6,43520.4,57446.928
40.02615,-75.135522,1908,City or Municipal Highway Agency,F,349.74,109818.36,144960.23520000002
40.031056,-75.111125,1957,City or Municipal Highway Agency,P,822.0,258108.0,340702.56
39.942544,-75.209944,1992,City or Municipal Highway Agency,G,505.0799999999999,158595.11999999997,209345.55839999998
40.003489,-75.114022,1914,City or Municipal Highway Agency,P,1261.08,395979.12,522692.4384
39.995961,-75.156214,1912,City or Municipal Highway Agency,P,385.44,121028.16,159757.1712
40.027092,-75.177942,1921,City or Municipal Highway Agency,G,341.19000000000005,107133.66000000002,141416.43120000002
39.922869,-75.219564,1928,City or Municipal Highway Agency,P,542.43,170323.02,224826.3864
39.946331,-75.230206,1910,City or Municipal Highway Agency,F,725.9,227932.6,300871.032
40.018214,-75.097989,1909,City or Municipal Highway Agency,F,825.84,259313.76,342294.1632
39.982597,-75.238697,1926,City or Municipal Highway Agency,P,2012.8500000000001,632034.9,834286.0680000001
39.934808,-75.217078,1977,City or Municipal Highway Agency,G,602.07,189049.98,249545.97360000003
39.931386,-75.223297,1982,City or Municipal Highway Agency,F,1099.56,345261.83999999997,455745.6288
39.933025,-75.212664,1966,City or Municipal Highway Agency,F,134.3,42170.200000000004,55664.664000000004
40.090286,-74.994597,1961,City or Municipal Highway Agency,F,182.39999999999998,57273.59999999999,75601.15199999999
40.007922,-75.092525,1892,City or Municipal Highway Agency,F,1053.3600000000001,330755.04000000004,436596.6528000001
40.0745,-74.984978,1962,City or Municipal Highway Agency,F,214.4,67321.6,88864.512
40.019169,-75.105403,1909,City or Municipal Highway Agency,F,839.1599999999999,263496.23999999993,347815.03679999994
40.087642,-75.135369,1909,City or Municipal Highway Agency,F,208.23999999999998,65387.35999999999,86311.3152
40.019575,-75.147092,1961,City or Municipal Highway Agency,F,562.3100000000001,176565.34000000003,233066.24880000003
39.926667,-75.2287,1910,City or Municipal Highway Agency,F,691.2199999999999,217043.08,286496.86559999996
39.925861,-75.229833,1997,City or Municipal Highway Agency,G,387.62999999999994,121715.81999999998,160664.88239999997
40.001292,-75.141828,1915,City or Municipal Highway Agency,F,321.78000000000003,101038.92000000001,133371.37440000003
39.993903,-75.163719,1919,City or Municipal Highway Agency,P,375.1,117781.40000000001,155471.448
40.090203,-75.069367,1977,City or Municipal Highway Agency,P,463.36000000000007,145495.04,192053.45280000003
39.968986,-75.181592,1931,City or Municipal Highway Agency,F,1878.9199999999998,589980.88,778774.7616
39.919033,-75.239531,1949,City or Municipal Highway Agency,P,597.52,187621.28,247660.0896
40.002619,-75.14285,1907,City or Municipal Highway Agency,G,373.32,117222.48,154733.6736
40.074008,-75.197517,1883,City or Municipal Highway Agency,G,282.5,88705.0,117090.6
40.055408,-75.217822,1915,City or Municipal Highway Agency,P,167.27999999999997,52525.91999999999,69334.2144
39.917931,-75.2411,1901,City or Municipal Highway Agency,F,729.1200000000001,228943.68000000005,302205.65760000004
39.916975,-75.2425,1913,City or Municipal Highway Agency,P,665.6999999999999,209029.8,275919.336
39.943247,-75.215019,1942,City or Municipal Highway Agency,F,475.79999999999995,149401.19999999998,197209.584
39.983519,-75.257639,1918,City or Municipal Highway Agency,P,100.03999999999999,31412.559999999998,41464.5792
39.930331,-75.227661,1994,City or Municipal Highway Agency,G,780.7500000000001,245155.50000000003,323605.26000000007
40.082372,-74.98255,1965,City or Municipal Highway Agency,F,207.50000000000003,65155.00000000001,86004.60000000002
39.938267,-75.208967,1894,City or Municipal Highway Agency,P,669.7800000000001,210310.92,277610.41440000007
39.995878,-75.131886,1931,City or Municipal Highway Agency,F,579.12,181843.68,240033.6576
39.991878,-75.126853,1985,City or Municipal Highway Agency,F,443.3,139196.2,183738.98400000003
40.057697,-75.219597,1979,City or Municipal Highway Agency,G,82.82,26005.48,34327.2336
39.980986,-75.186883,1892,City or Municipal Highway Agency,G,2130.72,669046.08,883140.8256
40.074011,-75.986356,1958,City or Municipal Highway Agency,F,0.0,0.0,0.0
39.903964,-75.180567,1915,City or Municipal Highway Agency,F,126.88,39840.32,52589.2224
40.057683,-75.220197,1979,City or Municipal Highway Agency,G,106.22000000000001,33353.08,44026.06560000001
39.9454,-75.23695,1905,City or Municipal Highway Agency,F,483.19,151721.66,200272.5912
40.076092,-75.054808,1907,City or Municipal Highway Agency,P,296.39,93066.45999999999,122847.7272
39.973514,-75.186367,1922,City or Municipal Highway Agency,F,652.38,204847.32,270398.4624
40.080514,-75.205317,1883,City or Municipal Highway Agency,G,195.84000000000003,61493.76000000001,81171.76320000002
39.902997,-75.178797,1915,City or Municipal Highway Agency,F,126.88,39840.32,52589.2224
39.940086,-75.239883,1932,City or Municipal Highway Agency,P,190.32000000000002,59760.48,78883.83360000001
40.1293,-75.0091,1905,City or Municipal Highway Agency,F,64.05,20111.7,26547.444
40.014778,-75.094378,1951,City or Municipal Highway Agency,F,402.57,126406.98,166857.21360000002
40.019944,-75.150589,1961,City or Municipal Highway Agency,F,380.8,119571.2,157833.98400000003
40.079247,-75.225467,1820,City or Municipal Highway Agency,P,169.32,53166.479999999996,70179.7536
39.901361,-75.18345,1915,City or Municipal Highway Agency,F,113.9,35764.6,47209.272000000004
40.038117,-75.012625,1939,City or Municipal Highway Agency,G,712.5300000000001,223734.42,295329.4344
40.019333,-75.106642,1979,City or Municipal Highway Agency,F,4420.349999999999,1387989.9,1832146.6679999998
40.020147,-75.152167,1960,City or Municipal Highway Agency,F,419.2,131628.8,173750.016
39.9001,-75.183497,1915,City or Municipal Highway Agency,F,101.15,31761.100000000002,41924.652
40.024564,-75.214319,1894,City or Municipal Highway Agency,G,221.20000000000002,69456.8,91682.97600000001
39.898475,-75.183231,1915,City or Municipal Highway Agency,F,667.22,209507.08000000002,276549.3456
40.047,-75.045242,1929,City or Municipal Highway Agency,F,224.22,70405.08,92934.7056
40.047264,-74.996322,1996,City or Municipal Highway Agency,F,611.25,191932.5,253350.90000000002
39.996403,-75.196339,1974,City or Municipal Highway Agency,P,1344.06,422034.83999999997,557085.9888
39.995886,-75.19495,1897,City or Municipal Highway Agency,F,9162.12,2876905.68,3797515.4976000004
40.031389,-75.233769,1885,City or Municipal Highway Agency,F,129.5,40663.0,53675.16
39.9968,-75.197697,1876,City or Municipal Highway Agency,F,120.16999999999999,37733.38,49808.06159999999
40.072942,-75.012086,1993,City or Municipal Highway Agency,G,173.8,54573.200000000004,72036.62400000001
40.01175,-75.192853,1908,City or Municipal Highway Agency,F,164.34000000000003,51602.76000000001,68115.64320000002
40.057233,-75.093461,1999,City or Municipal Highway Agency,G,485.03999999999996,152302.56,201039.3792
39.990339,-75.220361,1876,City or Municipal Highway Agency,F,208.39,65434.46,86373.4872
40.077828,-75.202203,1906,City or Municipal Highway Agency,F,214.20000000000002,67258.8,88781.61600000001
40.108139,-74.965406,1853,City or Municipal Highway Agency,F,88.32000000000001,27732.480000000003,36606.873600000006
40.121208,-74.997122,1975,City or Municipal Highway Agency,G,343.67999999999995,107915.51999999999,142448.4864
40.064906,-75.190547,1932,City or Municipal Highway Agency,G,200.01,62803.14,82900.1448
40.114836,-75.00535,1996,City or Municipal Highway Agency,P,350.14,109943.95999999999,145126.0272
40.089156,-75.056464,1960,City or Municipal Highway Agency,G,0.0,0.0,0.0
39.909217,-75.229206,1980,City or Municipal Highway Agency,P,547.5500000000001,171930.7,226948.52400000003
40.079322,-75.083025,1964,City or Municipal Highway Agency,P,259.2,81388.8,107433.216
39.925106,-75.241186,1926,City or Municipal Highway Agency,P,590.01,185263.13999999998,244547.34480000002
39.924908,-75.245706,1948,City or Municipal Highway Agency,F,556.7,174803.80000000002,230741.01600000003
40.049469,-75.026308,1931,City or Municipal Highway Agency,F,1547.1200000000001,485795.68000000005,641250.2976
40.088011,-74.981511,1976,City or Municipal Highway Agency,G,0.0,0.0,0.0
40.072194,-74.992842,1964,City or Municipal Highway Agency,F,209.6,65814.4,86875.008
40.064297,-75.985417,1958,City or Municipal Highway Agency,F,0.0,0.0,0.0
39.964756,-75.184547,1966,City or Municipal Highway Agency,P,2944.2000000000003,924478.8,1220312.016
40.100733,-75.02395,1969,City or Municipal Highway Agency,F,604.56,189831.84,250578.0288
39.892931,-75.243878,1983,City or Municipal Highway Agency,G,351.36,110327.04000000001,145631.69280000002
39.933539,-75.240211,1929,City or Municipal Highway Agency,F,158.20000000000002,49674.8,65570.736
39.972056,-75.208606,1910,City or Municipal Highway Agency,G,1014.1200000000001,318433.68000000005,420332.4576000001
39.967508,-75.192203,1994,City or Municipal Highway Agency,F,2995.92,940718.88,1241748.9216
39.981681,-75.223994,1876,City or Municipal Highway Agency,F,293.91,92287.74,121819.81680000002
40.070917,-75.211422,1916,City or Municipal Highway Agency,G,411.84000000000003,129317.76000000001,170699.4432
40.055325,-75.131683,1902,City or Municipal Highway Agency,F,320.88000000000005,100756.32000000002,132998.34240000002
40.052561,-75.133356,1913,City or Municipal Highway Agency,F,348.94,109567.16,144628.6512
39.945392,-75.224683,1903,City or Municipal Highway Agency,G,849.6300000000001,266783.82,352154.64240000007
40.015131,-75.150767,1929,City or Municipal Highway Agency,P,202.93,63720.020000000004,84110.42640000001
40.084314,-75.227944,2003,City or Municipal Highway Agency,G,1396.35,438453.89999999997,578759.148
39.929769,-75.230131,1985,City or Municipal Highway Agency,F,463.84000000000003,145645.76,192252.40320000003
39.946994,-75.186958,2010,City or Municipal Highway Agency,G,5783.4,1815987.5999999999,2397103.6319999998
39.948,-75.1884,2010,City or Municipal Highway Agency,G,3134.88,984352.3200000001,1299345.0624000002
39.948597,-75.1893,2010,City or Municipal Highway Agency,G,1482.91,465633.74000000005,614636.5368000001
39.970931,-75.203731,2012,City or Municipal Highway Agency,G,1838.19,577191.66,761892.9912
40.023078,-75.220175,2015,City or Municipal Highway Agency,G,137.86,43288.04,57140.21280000001
39.948914,-75.140261,1983,City or Municipal Highway Agency,F,2789.1200000000003,875783.68,1156034.4576
39.987639,-75.074014,2015,City or Municipal Highway Agency,G,829.9499999999999,260604.3,343997.676
39.971497,-75.206,2016,City or Municipal Highway Agency,G,1237.25,388496.5,512815.38
39.9589,-75.170372,2017,City or Municipal Highway Agency,G,592.02,185894.28,245380.4496
39.9594,-75.173906,2018,City or Municipal Highway Agency,G,795.5999999999999,249818.39999999997,329760.288
39.9595,-75.1755,2018,City or Municipal Highway Agency,G,838.9499999999999,263430.3,347727.996
39.960194,-75.159694,1892,City or Municipal Highway Agency,P,82.08,25773.12,34020.5184
40.024667,-75.223028,1998,City or Municipal Highway Agency,G,110.04,34552.560000000005,45609.3792
