Latitude,Longitude,Year Built,Maintenance Responsibility,Bridge Condition,SqFt,Repair Cost Est,Replacement Cost Est
40.10345,-74.961092,1990,City or Municipal Highway Agency,G,237.9,74700.6,98604.792
40.017092,-75.211428,1928,City or Municipal Highway Agency,F,631.68,198347.52,261818.72639999999
39.963467,-75.186778,1964,City or Municipal Highway Agency,P,2688.7000000000003,844251.8,1114412.3760000002
39.963861,-75.185025,1964,City or Municipal Highway Agency,P,439.02,137852.28,181965.0096
40.035356,-75.208878,1957,City or Municipal Highway Agency,F,2384.64,748776.96,988385.5872
40.005244,-75.131928,1926,City or Municipal Highway Agency,P,484.95000000000005,152274.30000000002,201002.07600000003
39.996797,-75.133711,1964,City or Municipal Highway Agency,F,641.1699999999998,201327.37999999995,265752.1416
40.011286,-75.130581,1926,City or Municipal Highway Agency,F,359.59999999999997,112914.4,149047.008
39.993506,-75.128647,1916,City or Municipal Highway Agency,P,858.33,269515.62,355760.61840000004
40.018283,-75.1359,1930,City or Municipal Highway Agency,P,239.4,75171.6,99226.512
40.014492,-75.178256,1960,City or Municipal Highway Agency,P,643.51,202062.13999999998,266722.0248
39.994858,-75.130047,1985,City or Municipal Highway Agency,F,497.6,156246.4,206245.24800000002
40.004997,-75.1279,1908,City or Municipal Highway Agency,G,1703.76,534980.64,706174.4448
40.02845,-75.178767,1883,City or Municipal Highway Agency,G,144.43,45351.020000000004,59863.3464
40.021994,-75.127969,1907,City or Municipal Highway Agency,F,532.17,167101.37999999998,220573.8216
40.01605,-75.175225,1929,City or Municipal Highway Agency,P,497.75999999999993,156296.63999999998,206311.5648
39.960072,-75.163672,1898,City or Municipal Highway Agency,G,1193.4,374727.60000000003,494640.4320000001
39.960675,-75.165161,1968,City or Municipal Highway Agency,F,302.25,94906.5,125276.58
39.954011,-75.166553,1957,City or Municipal Highway Agency,F,453.69000000000005,142458.66,188045.43120000002
39.960903,-75.166742,1898,City or Municipal Highway Agency,F,377.5,118535.0,156466.2
39.999025,-75.158678,1988,City or Municipal Highway Agency,F,881.92,276922.88,365538.2016
39.954269,-75.168147,1957,City or Municipal Highway Agency,F,231.04,72546.56,95761.4592
