Latitude,Longitude,Bridge_Condition
32.951308,-85.324814,Poor
32.496803,-87.558417,Poor
32.493908,-87.558244,Poor
33.901486,-87.554225,Poor
31.337894,-88.087631,Poor
33.183333,-86.3,Poor
32.320917,-86.348542,Poor
32.64,-87.923333,Poor
33.392733,-86.972583,Poor
33.185936,-87.462728,Poor
33.325789,-87.030731,Poor
34.740564,-87.09305,Poor
33.712047,-85.4877,Poor
31.821578,-88.243433,Poor
34.984803,-86.423292,Poor
33.985192,-86.044042,Poor
32.044553,-87.609717,Poor
32.5871,-85.9542,Poor
33.991053,-86.742531,Poor
30.867722,-87.716894,Poor
33.952633,-87.003936,Poor
34.280264,-86.816014,Poor
32.435675,-86.462803,Poor
32.437289,-86.440481,Poor
33.917097,-87.624186,Poor
33.930922,-87.622325,Poor
31.444436,-86.79895,Poor
32.193761,-85.654417,Poor
32.489367,-85.804525,Poor
33.788492,-85.44845,Poor
32.829925,-88.333336,Poor
32.804306,-88.336722,Poor
32.787197,-88.204994,Poor
32.449664,-87.66055,Poor
33.459417,-85.840753,Poor
31.046444,-86.005164,Poor
31.135678,-86.014311,Poor
34.172728,-87.34985,Poor
32.867636,-88.039731,Poor
32.33025,-85.693311,Poor
32.33025,-85.693311,Poor
34.276967,-86.518836,Poor
32.639792,-88.217817,Poor
32.737358,-88.216708,Poor
34.093339,-86.421636,Poor
32.079444,-87.500472,Poor
32.623878,-85.387928,Poor
32.631317,-85.373411,Poor
32.631728,-85.372144,Poor
31.071733,-86.183011,Poor
32.400042,-85.871583,Poor
32.441536,-88.235597,Poor
34.686067,-85.878597,Poor
32.449575,-87.559458,Poor
32.450378,-87.556861,Poor
33.048264,-85.458161,Poor
31.556258,-86.869508,Poor
33.003319,-86.308072,Poor
34.25265,-86.545881,Poor
32.496786,-87.558447,Poor
31.525814,-87.428047,Poor
33.738622,-87.460464,Poor
33.706478,-87.379147,Poor
32.982856,-87.572314,Poor
32.695175,-88.300106,Poor
34.869486,-86.937125,Poor
32.021683,-87.107664,Poor
32.080756,-87.498428,Poor
33.415625,-86.740303,Poor
32.316667,-87.55,Poor
33.800636,-86.371372,Poor
33.801178,-86.371858,Poor
32.029936,-86.389625,Poor
32.423039,-85.530281,Poor
32.422967,-85.513278,Poor
32.395267,-85.575136,Poor
32.412378,-85.616442,Poor
32.287856,-87.5266,Poor
34.514072,-85.680633,Poor
34.6899,-85.834222,Poor
32.794908,-88.222169,Poor
32.652489,-85.832464,Poor
33.848703,-87.286097,Poor
32.6522,-86.003267,Poor
34.657175,-85.640686,Poor
32.033333,-88.0,Poor
32.848828,-87.867147,Poor
32.983886,-85.576158,Poor
31.475822,-86.413525,Poor
32.465628,-85.714372,Poor
31.826589,-85.635497,Poor
33.14985,-85.858289,Poor
31.326103,-86.300311,Poor
31.234822,-86.311756,Poor
31.478544,-86.539711,Poor
34.565392,-87.681586,Poor
32.421439,-85.868117,Poor
33.287003,-85.764522,Poor
30.679303,-88.148506,Poor
33.457056,-85.383047,Poor
34.493808,-88.038897,Poor
34.552492,-87.985078,Poor
32.004192,-87.68915,Poor
33.968594,-87.861531,Poor
32.226611,-86.389228,Poor
32.435883,-85.464175,Poor
32.027547,-87.334439,Poor
32.732561,-88.066233,Poor
33.163875,-85.3744,Poor
30.68495,-88.010467,Poor
34.873219,-85.821378,Poor
30.760542,-88.103564,Poor
34.524939,-85.817331,Poor
32.613267,-86.270786,Poor
34.591058,-85.744908,Poor
34.440728,-87.699467,Poor
33.565983,-86.521308,Poor
31.974797,-86.534442,Poor
33.871444,-85.900142,Poor
32.072442,-87.233494,Poor
32.64295,-87.203119,Poor
33.240614,-85.687139,Poor
34.919367,-86.8024,Poor
33.586889,-87.109258,Poor
30.407308,-88.257297,Poor
32.559322,-85.777225,Poor
34.393058,-87.554483,Poor
34.000853,-87.222342,Poor
32.867458,-85.557703,Poor
33.774428,-85.425092,Poor
34.310414,-85.926631,Poor
33.476703,-86.925389,Poor
33.476614,-86.925528,Poor
32.826506,-86.653147,Poor
31.174047,-86.8349,Poor
34.762208,-86.589967,Poor
33.111839,-85.709428,Poor
30.552375,-87.891714,Poor
34.713644,-86.655589,Poor
33.370075,-87.903706,Poor
32.987575,-85.363292,Poor
32.81685,-85.653778,Poor
31.301489,-86.716881,Poor
33.995089,-86.309828,Poor
31.613886,-87.317972,Poor
31.842308,-87.040828,Poor
32.562225,-85.464939,Poor
32.049736,-86.303186,Poor
32.079956,-86.299822,Poor
31.318086,-88.18225,Poor
31.190025,-86.354258,Poor
31.753947,-86.986458,Poor
34.315464,-88.018072,Poor
31.858461,-87.348506,Poor
31.785939,-88.237342,Poor
34.3937,-85.990167,Poor
31.491578,-86.497811,Poor
32.936869,-85.515761,Poor
34.010739,-87.460864,Poor
34.728878,-86.127197,Poor
34.672803,-85.769089,Poor
34.679806,-85.768597,Poor
32.366078,-86.322567,Poor
32.798886,-85.50725,Poor
32.991197,-86.072019,Poor
34.737844,-86.140842,Poor
32.57815,-86.15515,Poor
32.274394,-86.749378,Poor
34.693933,-86.021653,Poor
34.575011,-85.851539,Poor
30.749794,-88.0936,Poor
34.052372,-86.723542,Poor
32.086506,-88.228992,Poor
32.894128,-86.567028,Poor
34.267233,-87.077425,Poor
34.259981,-86.663408,Poor
33.741467,-87.327286,Poor
30.731042,-88.094186,Poor
30.737825,-88.101061,Poor
33.58665,-85.897369,Poor
30.737386,-88.100108,Poor
34.283392,-86.179456,Poor
33.638158,-87.554347,Poor
34.158425,-86.237117,Poor
31.887661,-88.463572,Poor
31.395939,-86.400428,Poor
34.105486,-86.412142,Poor
34.491767,-87.736333,Poor
30.726772,-88.085239,Poor
34.594144,-85.925072,Poor
31.907111,-86.983083,Poor
31.394083,-86.4848,Poor
34.305297,-86.802831,Poor
34.811478,-86.114967,Poor
31.880939,-86.926861,Poor
31.880103,-86.928228,Poor
31.168492,-86.51915,Poor
34.670708,-85.760081,Poor
33.972706,-86.608217,Poor
33.376331,-88.205236,Poor
33.860822,-87.378253,Poor
33.807144,-87.139889,Poor
33.555353,-86.534658,Poor
33.206592,-88.079347,Poor
32.792339,-88.349922,Poor
31.996667,-86.867,Poor
31.994861,-86.866472,Poor
32.4839,-88.076158,Poor
31.489061,-87.049881,Poor
31.311333,-87.077636,Poor
32.706947,-87.651311,Poor
33.2329,-87.5645,Poor
33.255269,-87.955189,Poor
33.29695,-87.987283,Poor
33.458133,-87.978683,Poor
34.216358,-86.056242,Poor
31.403831,-87.196297,Poor
33.431556,-87.642914,Poor
31.879972,-86.939694,Poor
31.605103,-88.437006,Poor
34.276403,-86.599369,Poor
31.190128,-86.353828,Poor
33.467447,-86.708586,Poor
32.236958,-85.863489,Poor
33.178581,-87.943181,Poor
32.606647,-88.352733,Poor
32.669547,-86.396831,Poor
31.191983,-87.270086,Poor
34.462036,-88.073739,Poor
31.8566,-87.212628,Poor
31.615375,-87.058406,Poor
31.418647,-86.396056,Poor
31.302792,-86.332681,Poor
32.591814,-87.050453,Poor
32.476925,-87.255989,Poor
31.859028,-87.205939,Poor
31.3872,-86.847853,Poor
32.206975,-87.433322,Poor
34.062683,-88.145183,Poor
31.284381,-87.238011,Poor
33.300803,-87.873592,Poor
31.119553,-85.951675,Poor
31.511633,-86.770253,Poor
31.163617,-85.875344,Poor
31.351994,-88.164953,Poor
33.114125,-86.047061,Poor
34.599,-87.335611,Poor
34.272042,-86.165511,Poor
33.314139,-87.886894,Poor
32.707358,-87.195567,Poor
30.690361,-87.721514,Poor
34.603781,-86.276567,Poor
33.464764,-86.026939,Poor
33.403269,-87.899978,Poor
33.282217,-87.638839,Poor
32.50415,-88.005975,Poor
32.574425,-88.350411,Poor
32.531544,-87.329378,Poor
32.494417,-87.270444,Poor
34.1596,-86.088564,Poor
34.766478,-85.647917,Poor
33.437392,-87.656556,Poor
32.300375,-85.785478,Poor
31.36825,-85.908767,Poor
32.644167,-87.452694,Poor
32.775364,-87.318986,Poor
31.704714,-85.373283,Poor
34.202917,-87.398322,Poor
32.070483,-86.984114,Poor
31.903472,-87.115306,Poor
32.805589,-88.301694,Poor
32.063194,-86.972094,Poor
31.987667,-87.025611,Poor
32.553306,-87.153811,Poor
31.307864,-85.273089,Poor
32.184369,-87.927436,Poor
31.156097,-88.012639,Poor
33.349714,-86.399489,Poor
32.473333,-85.031667,Poor
31.280536,-86.616606,Poor
34.918369,-86.7305,Poor
33.703083,-85.5112,Poor
33.589383,-86.769728,Poor
32.9602,-85.9357,Poor
34.374647,-86.481178,Poor
34.365489,-86.450919,Poor
33.733383,-85.379933,Poor
34.287164,-86.179314,Poor
31.254178,-86.844797,Poor
32.833194,-85.609792,Poor
31.259361,-87.489786,Poor
34.217825,-86.126722,Poor
32.428583,-88.370061,Poor
32.633908,-85.409317,Poor
34.294483,-86.237494,Poor
34.191667,-86.851667,Poor
31.207364,-88.316914,Poor
31.207364,-88.316914,Poor
31.207364,-88.316914,Poor
31.231631,-88.179881,Poor
31.250694,-88.052567,Poor
31.205731,-88.039278,Poor
31.270228,-88.084528,Poor
31.325472,-88.179311,Poor
31.310167,-88.139572,Poor
31.504017,-88.072658,Poor
31.679961,-88.213575,Poor
31.150256,-86.118533,Poor
33.288414,-85.434714,Poor
34.47655,-86.940622,Poor
33.283611,-85.730164,Poor
31.892281,-86.458289,Poor
33.416681,-85.790783,Poor
33.515461,-85.638947,Poor
33.727947,-85.986069,Poor
34.663333,-86.760833,Poor
32.277042,-85.828883,Poor
32.483911,-85.740069,Poor
31.528625,-87.280283,Poor
32.411417,-86.327,Poor
32.345461,-86.084783,Poor
30.385244,-88.234636,Poor
31.379592,-86.195675,Poor
31.038333,-86.494722,Poor
31.590172,-88.356622,Poor
32.696667,-85.330833,Poor
33.7286,-85.7821,Poor
31.998306,-86.866611,Poor
32.136097,-87.389797,Poor
31.648117,-88.458597,Poor
34.822361,-86.645833,Poor
34.019747,-86.540908,Poor
33.922422,-86.383653,Poor
34.483011,-85.966192,Poor
32.518467,-86.20255,Poor
32.177333,-87.488806,Poor
31.459783,-87.502797,Poor
32.101461,-88.241883,Poor
32.358997,-86.314756,Poor
34.338778,-87.387944,Poor
34.273739,-87.251861,Poor
34.287353,-87.405286,Poor
32.968889,-87.382778,Poor
33.641469,-85.921411,Poor
33.675269,-85.949869,Poor
34.6404,-86.669989,Poor
34.648319,-86.667619,Poor
60.671842,-144.748019,Poor
64.861292,-147.761344,Poor
61.995658,-150.047344,Poor
64.217272,-149.280572,Poor
63.924817,-142.200622,Poor
61.762928,-149.678661,Poor
64.848603,-147.707742,Poor
64.718003,-165.9247,Poor
64.562203,-165.512586,Poor
60.518378,-144.860744,Poor
60.531364,-145.645039,Poor
55.348889,-131.665278,Poor
62.316925,-150.443414,Poor
65.571475,-144.804292,Poor
59.478353,-151.645089,Poor
58.414394,-135.737633,Poor
62.453983,-158.010922,Poor
62.952017,-156.106372,Poor
63.054672,-156.352742,Poor
62.98725,-156.068639,Poor
63.116331,-156.493447,Poor
63.704797,-144.640464,Poor
63.8228,-144.920992,Poor
61.732503,-148.752425,Poor
62.268856,-145.373803,Poor
63.171297,-145.531172,Poor
63.375533,-145.729814,Poor
63.402778,-145.735278,Poor
63.608664,-145.879583,Poor
60.330975,-149.362072,Poor
60.333472,-149.353483,Poor
60.817178,-148.991075,Poor
60.826697,-148.977836,Poor
60.841683,-148.983692,Poor
63.042917,-143.370958,Poor
59.746383,-151.756156,Poor
63.105183,-147.525183,Poor
55.355794,-131.694778,Poor
55.346703,-131.639361,Poor
55.411433,-131.718908,Poor
55.343889,-131.651111,Poor
59.449194,-135.324786,Poor
64.726783,-141.259933,Poor
60.5252,-145.790458,Poor
62.966703,-141.957786,Poor
61.140011,-146.362444,Poor
58.3065,-134.4096,Poor
57.709772,-152.567506,Poor
57.706586,-152.570978,Poor
60.493394,-149.701072,Poor
59.545103,-139.832567,Poor
57.9593,-136.2252,Poor
67.463239,-150.043942,Poor
62.658219,-159.534189,Poor
55.711431,-132.604872,Poor
61.406097,-149.465203,Poor
59.727569,-157.283125,Poor
64.804106,-148.419381,Poor
58.387222,-134.563333,Poor
55.296258,-131.5569,Poor
55.207342,-162.695917,Poor
56.294419,-158.406219,Poor
63.137058,-142.522675,Poor
59.729397,-157.293236,Poor
55.3462,-131.6594,Poor
64.808444,-148.572619,Poor
64.885003,-148.395444,Poor
62.225425,-150.442872,Poor
64.873475,-147.303225,Poor
61.758911,-149.443214,Poor
55.345603,-131.653753,Poor
55.343417,-131.640333,Poor
55.4696,-131.5687,Poor
60.164983,-149.404839,Poor
56.930994,-133.156619,Poor
55.485064,-133.123789,Poor
63.133814,-149.448119,Poor
62.527369,-145.516761,Poor
0.0,0.0,Poor
59.296917,-151.688694,Poor
59.279253,-151.652417,Poor
59.231056,-151.580389,Poor
59.248417,-151.622361,Poor
59.246056,-151.616611,Poor
59.241333,-151.602611,Poor
59.87185,-163.146839,Poor
70.21645,-150.982739,Poor
55.496528,-132.985222,Poor
57.030019,-134.024619,Poor
57.035372,-134.006675,Poor
57.008189,-133.871381,Poor
56.535108,-132.764753,Poor
56.930994,-133.156619,Poor
56.295069,-132.802022,Poor
56.183186,-132.599542,Poor
56.188297,-132.628311,Poor
56.425358,-132.967739,Poor
57.695128,-135.066192,Poor
57.9105,-135.5547,Poor
57.9076,-135.5429,Poor
58.078044,-135.825431,Poor
57.956739,-135.640922,Poor
57.963436,-135.259303,Poor
57.410192,-133.353633,Poor
58.289733,-135.352278,Poor
59.620536,-139.527881,Poor
60.825,-149.520833,Poor
55.173142,-132.132472,Poor
55.6579,-131.700744,Poor
55.639575,-131.354911,Poor
55.4278,-131.2391,Poor
56.791219,-133.129736,Poor
56.771506,-133.137019,Poor
56.794442,-133.111981,Poor
57.727803,-135.124275,Poor
57.9065,-135.5225,Poor
57.9517,-135.6228,Poor
57.9058,-135.5234,Poor
57.8963,-135.523,Poor
57.9366,-135.6142,Poor
57.9287,-135.6085,Poor
57.9262,-135.6059,Poor
57.92,-135.5685,Poor
55.716747,-133.221872,Poor
56.119881,-133.107061,Poor
55.550919,-131.462519,Poor
55.670556,-132.693767,Poor
55.497733,-131.418569,Poor
55.716042,-132.623075,Poor
64.391,-147.654222,Poor
63.980781,-145.7473,Poor
55.233117,-132.762306,Poor
55.238583,-132.728389,Poor
55.243833,-132.710917,Poor
55.243611,-132.702361,Poor
55.201719,-132.825606,Poor
32.71755,-114.572975,Poor
32.7824,-114.50045,Poor
34.091172,-114.389972,Poor
33.955547,-114.477047,Poor
33.955528,-114.428678,Poor
33.9265,-114.447158,Poor
33.981189,-114.451314,Poor
